Mission        Instrument                 Sensing Date                                                                           ID                                                                                                                                  Download URL  
Sentinel-1B    SAR-C           2018-05-28T22:04:45.315Z     S1B_IW_SLC__1SDV_20180528T220445_20180528T220512_011127_014682_41FF     https://scihub.copernicus.eu/dhus/odata/v1/Products('5f312179-a540-409e-9f97-5291f3616ab4')/$value
Sentinel-1B    SAR-C           2018-06-09T22:04:46.187Z     S1B_IW_SLC__1SDV_20180609T220446_20180609T220513_011302_014C06_C56F     https://scihub.copernicus.eu/dhus/odata/v1/Products('b03be4d9-5aa5-4b4f-a78f-86f958fc4e81')/$value
Sentinel-1B    SAR-C           2018-07-10T21:56:18.841Z     S1B_IW_SLC__1SDV_20180710T215618_20180710T215649_011754_0159FF_E20B     https://scihub.copernicus.eu/dhus/odata/v1/Products('80d75037-78e2-4827-8322-f9ca14e663b4')/$value
Sentinel-1B    SAR-C           2018-07-15T22:04:48.266Z     S1B_IW_SLC__1SDV_20180715T220448_20180715T220515_011827_015C47_AFA6     https://scihub.copernicus.eu/dhus/odata/v1/Products('be7ea588-98a3-4717-8434-abe7379c6e25')/$value
Sentinel-1A    SAR-C           2018-08-09T09:55:56.923Z     S1A_IW_SLC__1SDV_20180809T095556_20180809T095623_023168_028454_09B0     https://scihub.copernicus.eu/dhus/odata/v1/Products('32169a4c-eca2-4ef0-ba28-c84c920de229')/$value
Sentinel-1A    SAR-C           2018-08-09T09:56:21.756Z     S1A_IW_SLC__1SDV_20180809T095621_20180809T095649_023168_028454_2F78     https://scihub.copernicus.eu/dhus/odata/v1/Products('4f1c0488-d594-4f9c-89d0-b41ea5d9a658')/$value
Sentinel-1B    SAR-C           2018-08-20T22:04:45.966Z     S1B_IW_SLC__1SDV_20180820T220445_20180820T220512_012352_016C5A_F844     https://scihub.copernicus.eu/dhus/odata/v1/Products('3e49baf4-7ad9-46c4-aeda-e0420ade2e25')/$value
Sentinel-1B    SAR-C           2018-10-02T21:56:22.955Z     S1B_IW_SLC__1SDV_20181002T215622_20181002T215653_012979_017F92_121A     https://scihub.copernicus.eu/dhus/odata/v1/Products('043c1943-3054-4b42-a787-317e74faebaa')/$value
Sentinel-1B    SAR-C           2018-10-07T22:04:50.435Z     S1B_IW_SLC__1SDV_20181007T220450_20181007T220517_013052_0181D4_67B4     https://scihub.copernicus.eu/dhus/odata/v1/Products('d412a100-af90-441e-ba52-048c8934083a')/$value
Sentinel-1B    SAR-C           2018-10-19T22:04:47.735Z     S1B_IW_SLC__1SDV_20181019T220447_20181019T220514_013227_018739_3ABA     https://scihub.copernicus.eu/dhus/odata/v1/Products('1502a17f-1353-412f-9952-29f45eb9fa07')/$value
Sentinel-1B    SAR-C           2019-03-07T09:55:33.443Z     S1B_IW_SLC__1SDV_20190307T095533_20190307T095601_015247_01C872_1C15     https://scihub.copernicus.eu/dhus/odata/v1/Products('43c4699f-7c1e-4747-a2f7-a5ecda40ad9e')/$value
Sentinel-1B    SAR-C           2019-04-12T21:56:20.500Z     S1B_IW_SLC__1SDV_20190412T215620_20190412T215651_015779_01D9E3_DCF9     https://scihub.copernicus.eu/dhus/odata/v1/Products('02b90950-fc59-44f6-ba94-0a8ee8158338')/$value
Sentinel-1B    SAR-C           2019-05-06T21:56:21.500Z     S1B_IW_SLC__1SDV_20190506T215621_20190506T215652_016129_01E58E_0BC4     https://scihub.copernicus.eu/dhus/odata/v1/Products('2dc5a9e5-11e2-42a5-806d-8e1ee2658056')/$value
Sentinel-1B    SAR-C           2019-06-04T22:04:52.087Z     S1B_IW_SLC__1SDV_20190604T220452_20190604T220519_016552_01F297_240D     https://scihub.copernicus.eu/dhus/odata/v1/Products('2c8cba71-b01b-47e3-a1fd-5c5efb83ff07')/$value
Sentinel-1B    SAR-C           2019-06-11T21:56:34.390Z     S1B_IW_SLC__1SDV_20190611T215634_20190611T215656_016654_01F587_0D50     https://scihub.copernicus.eu/dhus/odata/v1/Products('e71c3030-929d-4a15-bd35-ec5d0f2920ea')/$value
Sentinel-1B    SAR-C           2019-06-16T22:04:52.833Z     S1B_IW_SLC__1SDV_20190616T220452_20190616T220519_016727_01F7C6_08A1     https://scihub.copernicus.eu/dhus/odata/v1/Products('f1d54524-e409-46f9-8368-8958bea557a1')/$value
Sentinel-1B    SAR-C           2019-09-08T22:04:57.743Z     S1B_IW_SLC__1SDV_20190908T220457_20190908T220524_017952_021CBE_2DDB     https://scihub.copernicus.eu/dhus/odata/v1/Products('6df758cf-5194-4a3e-90c8-80f6e5aa4a3e')/$value
Sentinel-1B    SAR-C           2019-09-27T09:55:43.238Z     S1B_IW_SLC__1SDV_20190927T095543_20190927T095611_018222_0224FA_6733     https://scihub.copernicus.eu/dhus/odata/v1/Products('0ef509ac-c261-4568-aabe-cbf31ccaf3fa')/$value
Sentinel-1B    SAR-C           2019-10-21T09:55:43.279Z     S1B_IW_SLC__1SDV_20191021T095543_20191021T095611_018572_022FDE_B785     https://scihub.copernicus.eu/dhus/odata/v1/Products('fe2897b4-d7c1-4c67-bd87-951fe81cc9fc')/$value
Sentinel-1B    SAR-C           2019-10-26T22:04:58.580Z     S1B_IW_SLC__1SDV_20191026T220458_20191026T220525_018652_023269_EC76     https://scihub.copernicus.eu/dhus/odata/v1/Products('d7542085-4393-446e-966f-9320c9c7364a')/$value
Sentinel-1B    SAR-C           2019-11-02T09:55:43.054Z     S1B_IW_SLC__1SDV_20191102T095543_20191102T095610_018747_02355C_362B     https://scihub.copernicus.eu/dhus/odata/v1/Products('951aa331-7248-4ef3-874a-eb33eb97493f')/$value
